,mapping,trans_mapping,hs,hk,smap,smap_inf
183,[3 5 6 7],"['GOOG.csv', 'IDXX.csv', 'MSFT.csv', 'NFLX.csv']",2.670795,2.656421,0.658646,3.642507
184,[0 1 2 5],"['AAPL.csv', 'ADBE.csv', 'ADI.csv', 'IDXX.csv']",2.653937,2.628635,0.665402,3.625649
185,[3 4 5 7],"['GOOG.csv', 'GOOGL.csv', 'IDXX.csv', 'NFLX.csv']",2.236425,2.214383,0.683886,3.208137
186,[1 3 7 8],"['ADBE.csv', 'GOOG.csv', 'NFLX.csv', 'NVDA.csv']",2.622924,2.547276,0.651317,3.594635
187,[3 5 6 9],"['GOOG.csv', 'IDXX.csv', 'MSFT.csv', 'TSLA.csv']",2.697123,2.631411,0.671123,3.668835
188,[0 1 2 9],"['AAPL.csv', 'ADBE.csv', 'ADI.csv', 'TSLA.csv']",2.681786,2.603872,0.697743,3.653498
189,[4 5 6 7],"['GOOGL.csv', 'IDXX.csv', 'MSFT.csv', 'NFLX.csv']",2.670101,2.486409,0.653930,3.641813
190,[1 3 7 9],"['ADBE.csv', 'GOOG.csv', 'NFLX.csv', 'TSLA.csv']",2.630735,2.624657,0.683728,3.602446
191,[2 5 6 7],"['ADI.csv', 'IDXX.csv', 'MSFT.csv', 'NFLX.csv']",2.720419,2.625505,0.676988,3.692130
192,[3 4 5 8],"['GOOG.csv', 'GOOGL.csv', 'IDXX.csv', 'NVDA.csv']",2.251529,2.238210,0.656472,3.223241
193,[0 4 7 9],"['AAPL.csv', 'GOOGL.csv', 'NFLX.csv', 'TSLA.csv']",2.651180,2.575151,0.701715,3.622892
194,[1 3 6 8],"['ADBE.csv', 'GOOG.csv', 'MSFT.csv', 'NVDA.csv']",2.603952,2.422643,0.593183,3.575664
195,[0 2 7 9],"['AAPL.csv', 'ADI.csv', 'NFLX.csv', 'TSLA.csv']",2.702609,2.507048,0.723684,3.674321
196,[0 3 5 7],"['AAPL.csv', 'GOOG.csv', 'IDXX.csv', 'NFLX.csv']",2.642271,2.582458,0.682898,3.613983
197,[1 3 8 9],"['ADBE.csv', 'GOOG.csv', 'NVDA.csv', 'TSLA.csv']",2.655175,2.570212,0.663703,3.626886
198,[0 2 8 9],"['AAPL.csv', 'ADI.csv', 'NVDA.csv', 'TSLA.csv']",2.682332,2.544798,0.697235,3.654044
199,[0 2 5 6],"['AAPL.csv', 'ADI.csv', 'IDXX.csv', 'MSFT.csv']",2.692214,2.658299,0.656229,3.663926
200,[3 5 7 9],"['GOOG.csv', 'IDXX.csv', 'NFLX.csv', 'TSLA.csv']",2.677119,2.624904,0.719418,3.648831
201,[0 5 7 9],"['AAPL.csv', 'IDXX.csv', 'NFLX.csv', 'TSLA.csv']",2.699998,2.635035,0.729452,3.671710
202,[3 4 6 7],"['GOOG.csv', 'GOOGL.csv', 'MSFT.csv', 'NFLX.csv']",2.234538,2.202625,0.643272,3.206250
203,[1 2 4 7],"['ADBE.csv', 'ADI.csv', 'GOOGL.csv', 'NFLX.csv']",2.631621,2.571581,0.660038,3.603333
204,[0 3 6 7],"['AAPL.csv', 'GOOG.csv', 'MSFT.csv', 'NFLX.csv']",2.636560,2.624322,0.620796,3.608271
205,[2 5 7 8],"['ADI.csv', 'IDXX.csv', 'NFLX.csv', 'NVDA.csv']",2.685580,2.658706,0.680196,3.657291
206,[1 2 5 9],"['ADBE.csv', 'ADI.csv', 'IDXX.csv', 'TSLA.csv']",2.689585,2.616370,0.695763,3.661297
207,[2 3 5 6],"['ADI.csv', 'GOOG.csv', 'IDXX.csv', 'MSFT.csv']",2.677334,2.534624,0.634168,3.649045
208,[1 3 5 8],"['ADBE.csv', 'GOOG.csv', 'IDXX.csv', 'NVDA.csv']",2.631527,2.555972,0.638365,3.603238
209,[4 5 7 9],"['GOOGL.csv', 'IDXX.csv', 'NFLX.csv', 'TSLA.csv']",2.681663,2.610164,0.709556,3.653375
210,[2 5 8 9],"['ADI.csv', 'IDXX.csv', 'NVDA.csv', 'TSLA.csv']",2.700926,2.622168,0.683896,3.672638
211,[0 1 7 9],"['AAPL.csv', 'ADBE.csv', 'NFLX.csv', 'TSLA.csv']",2.661287,2.449601,0.693178,3.632999
212,[1 3 6 9],"['ADBE.csv', 'GOOG.csv', 'MSFT.csv', 'TSLA.csv']",2.629975,2.455140,0.643709,3.601687
213,[0 2 5 7],"['AAPL.csv', 'ADI.csv', 'IDXX.csv', 'NFLX.csv']",2.695156,2.674736,0.697626,3.666868
214,[1 2 5 6],"['ADBE.csv', 'ADI.csv', 'IDXX.csv', 'MSFT.csv']",2.648049,2.613435,0.649115,3.619761
215,[0 2 3 5],"['AAPL.csv', 'ADI.csv', 'GOOG.csv', 'IDXX.csv']",2.663646,2.645063,0.659519,3.635358
