N	mapping	trans_mapping	hs	hk	smap	smap_inf
3	[0 5 7]	['AAPL.csv', 'GOOGL.csv', 'MSFT.csv']	1.998294	1.991440	0.558642	5.476004
3	[0 5 8]	['AAPL.csv', 'GOOGL.csv', 'NFLX.csv']	1.994491	1.989659	0.571742	5.472201
3	[0 5 9]	['AAPL.csv', 'GOOGL.csv', 'NTES.csv']	2.030317	2.021429	0.587788	5.508027
3	[ 0  5 10]	['AAPL.csv', 'GOOGL.csv', 'NVDA.csv']	2.010571	2.008702	0.558572	5.488282
3	[ 0  5 11]	['AAPL.csv', 'GOOGL.csv', 'TSLA.csv']	2.021712	2.014236	0.586357	5.499423
3	[0 6 7]	['AAPL.csv', 'IDXX.csv', 'MSFT.csv']	2.055122	2.047562	0.570345	5.532832
3	[0 6 8]	['AAPL.csv', 'IDXX.csv', 'NFLX.csv']	2.040893	2.037276	0.587546	5.518603
3	[0 6 9]	['AAPL.csv', 'IDXX.csv', 'NTES.csv']	2.071266	2.062182	0.598588	5.548977
3	[ 0  6 10]	['AAPL.csv', 'IDXX.csv', 'NVDA.csv']	2.049458	2.042052	0.576983	5.527169
3	[ 0  6 11]	['AAPL.csv', 'IDXX.csv', 'TSLA.csv']	2.061891	2.054414	0.599012	5.539601
3	[0 7 8]	['AAPL.csv', 'MSFT.csv', 'NFLX.csv']	2.047007	2.045526	0.571868	5.524717
3	[0 7 9]	['AAPL.csv', 'MSFT.csv', 'NTES.csv']	2.077816	2.070257	0.587151	5.555527
3	[ 0  7 10]	['AAPL.csv', 'MSFT.csv', 'NVDA.csv']	2.048478	2.038814	0.557052	5.526188
3	[ 0  7 11]	['AAPL.csv', 'MSFT.csv', 'TSLA.csv']	2.074974	1.955971	0.581661	5.552684
3	[0 8 9]	['AAPL.csv', 'NFLX.csv', 'NTES.csv']	2.052084	2.046629	0.601208	5.529794
3	[ 0  8 10]	['AAPL.csv', 'NFLX.csv', 'NVDA.csv']	2.036709	1.912016	0.583289	5.514419
3	[ 0  8 11]	['AAPL.csv', 'NFLX.csv', 'TSLA.csv']	2.040864	2.036001	0.601526	5.518574
3	[ 0  9 10]	['AAPL.csv', 'NTES.csv', 'NVDA.csv']	2.065494	2.059181	0.594662	5.543205
3	[ 0  9 11]	['AAPL.csv', 'NTES.csv', 'TSLA.csv']	2.070232	2.061510	0.612053	5.547943
3	[ 0 10 11]	['AAPL.csv', 'NVDA.csv', 'TSLA.csv']	2.057583	2.050412	0.589890	5.535294
3	[1 2 3]	['ADBE.csv', 'ADI.csv', 'CSCO.csv']	2.061355	2.049016	0.569773	5.539065
3	[1 2 4]	['ADBE.csv', 'ADI.csv', 'GOOG.csv']	2.008873	2.003265	0.563977	5.486583
3	[1 2 5]	['ADBE.csv', 'ADI.csv', 'GOOGL.csv']	2.008086	2.001620	0.563446	5.485796
3	[1 2 6]	['ADBE.csv', 'ADI.csv', 'IDXX.csv']	2.030308	2.018387	0.582243	5.508018
3	[1 2 7]	['ADBE.csv', 'ADI.csv', 'MSFT.csv']	2.013129	1.909702	0.567910	5.490840
3	[1 2 8]	['ADBE.csv', 'ADI.csv', 'NFLX.csv']	2.026807	2.021353	0.580243	5.504518
3	[1 2 9]	['ADBE.csv', 'ADI.csv', 'NTES.csv']	2.058736	2.052004	0.596910	5.536447
3	[ 1  2 10]	['ADBE.csv', 'ADI.csv', 'NVDA.csv']	2.013074	2.000061	0.574480	5.490785
3	[ 1  2 11]	['ADBE.csv', 'ADI.csv', 'TSLA.csv']	2.052590	2.046512	0.588755	5.530300
3	[1 3 4]	['ADBE.csv', 'CSCO.csv', 'GOOG.csv']	2.027782	2.025913	0.557927	5.505493
3	[1 3 5]	['ADBE.csv', 'CSCO.csv', 'GOOGL.csv']	2.026431	2.023703	0.559966	5.504141
3	[1 3 6]	['ADBE.csv', 'CSCO.csv', 'IDXX.csv']	2.060098	2.054491	0.574561	5.537809
3	[1 3 7]	['ADBE.csv', 'CSCO.csv', 'MSFT.csv']	2.036662	1.899590	0.562967	5.514372
3	[1 3 8]	['ADBE.csv', 'CSCO.csv', 'NFLX.csv']	2.059402	1.916723	0.569242	5.537112
3	[1 3 9]	['ADBE.csv', 'CSCO.csv', 'NTES.csv']	2.091764	2.084910	0.583523	5.569474
3	[ 1  3 10]	['ADBE.csv', 'CSCO.csv', 'NVDA.csv']	2.071571	2.060979	0.558795	5.549281
3	[ 1  3 11]	['ADBE.csv', 'CSCO.csv', 'TSLA.csv']	2.087363	2.083746	0.578271	5.565073
3	[1 4 5]	['ADBE.csv', 'GOOG.csv', 'GOOGL.csv']	1.557337	1.536776	0.586216	5.035047
3	[1 4 6]	['ADBE.csv', 'GOOG.csv', 'IDXX.csv']	1.982214	1.978241	0.575535	5.459924
3	[1 4 7]	['ADBE.csv', 'GOOG.csv', 'MSFT.csv']	1.965920	1.956021	0.559685	5.443630
3	[1 4 8]	['ADBE.csv', 'GOOG.csv', 'NFLX.csv']	1.976501	1.975878	0.566613	5.454211
3	[1 4 9]	['ADBE.csv', 'GOOG.csv', 'NTES.csv']	2.016513	2.011059	0.584270	5.494224
3	[ 1  4 10]	['ADBE.csv', 'GOOG.csv', 'NVDA.csv']	2.001987	1.883371	0.556283	5.479697
3	[ 1  4 11]	['ADBE.csv', 'GOOG.csv', 'TSLA.csv']	2.009710	2.004847	0.579172	5.487420
3	[1 5 6]	['ADBE.csv', 'GOOGL.csv', 'IDXX.csv']	1.985156	1.980172	0.572705	5.462867
3	[1 5 7]	['ADBE.csv', 'GOOGL.csv', 'MSFT.csv']	1.965348	1.957992	0.558602	5.443058
3	[1 5 8]	['ADBE.csv', 'GOOGL.csv', 'NFLX.csv']	1.977675	1.976194	0.563847	5.455385
3	[1 5 9]	['ADBE.csv', 'GOOGL.csv', 'NTES.csv']	2.018135	2.011556	0.581724	5.495845
3	[ 1  5 10]	['ADBE.csv', 'GOOGL.csv', 'NVDA.csv']	2.002546	1.882297	0.554282	5.480257
3	[ 1  5 11]	['ADBE.csv', 'GOOGL.csv', 'TSLA.csv']	2.010989	2.004912	0.576850	5.488700
3	[1 6 7]	['ADBE.csv', 'IDXX.csv', 'MSFT.csv']	2.007891	1.999791	0.573919	5.485601
3	[1 6 8]	['ADBE.csv', 'IDXX.csv', 'NFLX.csv']	2.012112	2.006505	0.583537	5.489823
3	[1 6 9]	['ADBE.csv', 'IDXX.csv', 'NTES.csv']	2.043659	2.039063	0.596905	5.521370
3	[ 1  6 10]	['ADBE.csv', 'IDXX.csv', 'NVDA.csv']	2.029094	2.016641	0.576531	5.506804
3	[ 1  6 11]	['ADBE.csv', 'IDXX.csv', 'TSLA.csv']	2.036448	2.029124	0.593995	5.514159
3	[1 7 8]	['ADBE.csv', 'MSFT.csv', 'NFLX.csv']	2.004411	2.000673	0.568211	5.482121
3	[1 7 9]	['ADBE.csv', 'MSFT.csv', 'NTES.csv']	2.037028	1.935470	0.586411	5.514738
3	[ 1  7 10]	['ADBE.csv', 'MSFT.csv', 'NVDA.csv']	2.016781	2.003226	0.557220	5.494491
3	[ 1  7 11]	['ADBE.csv', 'MSFT.csv', 'TSLA.csv']	2.036023	2.025584	0.575816	5.513734
3	[1 8 9]	['ADBE.csv', 'NFLX.csv', 'NTES.csv']	2.034799	2.032071	0.592620	5.512509
3	[ 1  8 10]	['ADBE.csv', 'NFLX.csv', 'NVDA.csv']	2.022421	2.016190	0.576681	5.500131
3	[ 1  8 11]	['ADBE.csv', 'NFLX.csv', 'TSLA.csv']	2.024246	2.022377	0.589989	5.501957
3	[ 1  9 10]	['ADBE.csv', 'NTES.csv', 'NVDA.csv']	2.056379	2.046092	0.589833	5.534089
3	[ 1  9 11]	['ADBE.csv', 'NTES.csv', 'TSLA.csv']	2.056428	1.901828	0.602756	5.534138
3	[ 1 10 11]	['ADBE.csv', 'NVDA.csv', 'TSLA.csv']	2.048433	2.039240	0.581377	5.526144
3	[2 3 4]	['ADI.csv', 'CSCO.csv', 'GOOG.csv']	2.068514	1.924894	0.564324	5.546225
3	[2 3 5]	['ADI.csv', 'CSCO.csv', 'GOOGL.csv']	2.066793	2.055884	0.567497	5.544504
3	[2 3 6]	['ADI.csv', 'CSCO.csv', 'IDXX.csv']	2.094079	2.081065	0.576704	5.571790
3	[2 3 7]	['ADI.csv', 'CSCO.csv', 'MSFT.csv']	2.081990	1.960094	0.567014	5.559700
